name,date
A/S Hill,10/2/2007
LTG Odierno at the NPC,10/2/2007
AMB Lagon - TIP,10/3/2007
BG Holmes Briefing CENTCOM Update,10/3/2007
GEN Ward AFRICOM Interviews,10/4/2007
RNC Election Overview,10/9/2007
RNC Election Overview-Waitlist,10/10/2007
DNC Visit 11-2-07,10/15/2007
GEN Conway at CNAS,10/15/2007
M.D. Anderson,10/17/2007
OSCE roundtable,10/18/2007
USAF AS Anderson on Synthetic Fuel & Green Tech,10/26/2007
USAF F-22,11/1/2007
Iranian sanctions roundtable,11/5/2007
Tuck,11/5/2007
"Mayor's Off. of TV, Film & Brdcst.",11/8/2007
Treasury Ahmed Saeed  RT,11/9/2007
U.S. Health Care,11/14/2007
A/S Shannon Briefing on the Merida Initiative,11/15/2007
JCS ADM Mullen 'National Security Update' Briefing,11/20/2007
WHO ASKED - DHS Briefing on Fingerprints,11/20/2007
WHO ASKED: CJCS ADM Mullen Briefing,11/20/2007
2008 Elections-CFR 12-5-07,11/29/2007
Arab Americans Mid East Policy 2008 U.S. Elections,11/30/2007
"'How to Cover DoD' by Col. Kiernan, Retired",11/30/2007
Amb. Yates,12/5/2007
USAIDIraq,12/5/2007
2008 Elections-Big Picture Chuck Todd,12/6/2007
ASD McHale: Homeland Defense Update,12/6/2007
U/S Hughes,12/10/2007
DASD Doran Briefing on 'Countering Terrorist Ideology',12/13/2007
Amb. Gray Bali Brief,12/18/2007
Ari Fleischer,12/18/2007
NYC Waterfalls Art Exhibit Preview,1/16/2008
MG Rodriguez FPC Briefing 'Afghanistan Update',1/23/2008
The MCC at Four,1/30/2008
US-VISIT,1/30/2008
Mickey Carroll,2/5/2008
New York Super Tuesday 2008,2/5/2008
Romanian Roundtable,2/5/2008
Super Tuesday - Alec Young,2/5/2008
SecGutierrezTriptoJordan,2/6/2008
General Thomas Hartmann,2/11/2008
SecGutierrezTriptoJordan,2/11/2008
USAF A/S Anderson,2/14/2008
Chinese Military Power Report Rollout,2/15/2008
CAFTA Roundtable,2/22/2008
Wall St. Econ Forecast,2/26/2008
D/S Kimmitt,2/27/2008
Amb. Danilovich,3/3/2008
USIADKunder,3/6/2008
U-S Rood missile defense,3/11/2008
Women of Courage,3/14/2008
BG Hartmann Briefing 'U.S. Military Commissions',3/31/2008
Dan Fried - 040708,4/7/2008
Frank Luntz,4/10/2008
Phil Conv.&Vis./Japanese,4/15/2008
Southcoast USA,4/24/2008
USVISIT Roundtable with Director Mocny,4/24/2008
CumberMayBrfg2008,4/28/2008
Wall St. & Green Tech,4/29/2008
Tribeca/Bobby Valentine,4/30/2008
NYSE CEO,5/1/2008
Commerce Euros,5/9/2008
SDNY Garcia,5/20/2008
PSI anniversary roundtable,6/4/2008
Conference Board,6/12/2008
'Presidential Campaign Update' DVC,6/23/2008
Campaign Update w/ Conway/Pollock,6/24/2008
Bank of America,6/26/2008
NYPD Browne,6/26/2008
Africa Investment Horizons,7/1/2008
A/S McMurray on African Conservation,7/8/2008
ICE NY P.Smith,7/10/2008
Treasury U/S McCormick,7/10/2008
Gen. Newton,7/15/2008
NYPD P. Browne,7/15/2008
Brown Debate Briefing,7/30/2008
ICE AS Myers,7/30/2008
The Americas Competitiveness Forum - Atlanta Ga.,8/11/2008
Bryza on Georgia,8/19/2008
PAO Meet and Greet - Colombian Journalists,8/19/2008
USAIDLebanon,8/19/2008
DaileySept11,9/9/2008
Polling 9-16-08,9/9/2008
BDA/CultureSpan,9/19/2008
A/S Hook UNGA Preview,9/22/2008
"General Caldwell Briefing on FM-03-07 ""Stability Operations""",10/6/2008
Wall St./Elections,10/14/2008
Election Day - Prof Epstein,11/4/2008
2008USElectionsAAI,11/5/2008
Adm. Keating,11/5/2008
Youth Summit,12/3/2008
Pathways to Prosperity Briefing A/S Shannon and A/S Sullivan,12/8/2008
ADM Keating 'EAP U.S. Military Overview',12/18/2008
US Marshals,1/13/2009
Inauguration Briefing with Donald Kennon,1/14/2009
"ADM Mullen, 'U.S. National Security Strategy Update'",1/27/2009
DEA Gilbride,1/29/2009
WEST Korea briefing,2/6/2009
FBI Update on Top 10 Fugitive Whitey Bulger,2/9/2009
Economic Crisis:  The Wall Street Perspective,2/17/2009
"U.S. Congressman John Lewis, 2/23/09",2/23/2009
'How to Cover DoD' by Col Rick Kiernan,3/6/2009
Netflix Briefing,3/9/2009
Heritage/CAP health care brief,3/17/2009
Asst. Sec. Warlick roundtable,3/20/2009
James Warlick - IO Assistant Sec.,3/20/2009
North Korea Policy Briefing April 3 2009,3/24/2009
Economic Instability & the Future of Global Demcracy,3/25/2009
Media Roundtable 'Africa Partnership Station',3/26/2009
NSA Jones Af-Pak Strategy,3/27/2009
Autism Speaks,4/1/2009
MD Anderson Integrating Eastern and Complementary Medicine into Traditional Medical Treatment for Cancer,4/2/2009
DAS Hale & DOD/DAS Kahl,4/8/2009
GOOGLE SEARCHING FOR JOURNALISTS,4/10/2009
Paul Krugman The Return of Depression Economics,4/13/2009
Ben Steil Money Markets & Sovreignty,4/14/2009
'HARD LESSONS',4/14/2009
Take Back the Night,4/15/2009
Iraqi Human Rights Wijdam Salim,4/20/2009
Green Innovation Briefing,4/21/2009
Think Tanks with McGann & CAP & CNP,4/23/2009
Stern-Froman,4/24/2009
ICE NY P. Smith 09,4/28/2009
Arab American Comedy Festival,4/29/2009
BAM,4/29/2009
AS Gottemoeller,5/5/2009
QDR Rollout Media Roundtable,5/7/2009
AFRICOM Yates,5/12/2009
OLD S Briefing RSVP,5/15/2009
Adoption and Netherlands,5/19/2009
S Briefing Take 2,5/19/2009
Google for Journalists,5/20/2009
Treasury China Round Table,5/22/2009
FBI Cybercrime,5/26/2009
DHS USVISIT Pilot Program,5/27/2009
Global Response President's Cairo Speech,6/5/2009
Ambassador Korologos,6/9/2009
View from Wall Street:  The State of the Economic Recovery,6/9/2009
Doing Business in a Multicultural world,6/12/2009
"Sree Sreevinasan:  Twitter, Facebook, LinkedIn",6/22/2009
Special Envoy for Eurasian Energy Morningstar,6/23/2009
empire state,6/24/2009
A Conversation About Pakistan with Nicholas Schmidle,6/26/2009
General Sharp,7/14/2009
The U.S. bid for the World Cup and the ‘Football for Hope’ philanthropy,7/27/2009
PA Gov/Summit,9/9/2009
UNGA Climate Change,9/22/2009
UNGA Middle East,9/22/2009
UNGA Asia,9/23/2009
UNGA Peacekeeping,9/23/2009
UNGA NonPro/Disarm,9/24/2009
UNGA Ian Kelly,9/29/2009
2011 Diversity Visa Lottery,10/1/2009
2011 Diversity Visa Lottery Program & Registration,10/1/2009
Andy Strike,10/6/2009
NJ Gov Race,10/19/2009
MNF-I Briefing with Gen. Lanza,10/22/2009
South Coast USA,10/27/2009
APEC Briefing by Kurt Tong,10/29/2009
Guinea: A Situation Update,10/29/2009
"A/S Gordon  Nov 6, 2009",11/4/2009
PJ Crowley Middle East Briefing,11/13/2009
PACOM Adm.Willard,11/17/2009
Retired Muslim Officers/NCOs,11/17/2009
View from the War An Embed's Story,11/17/2009
A/S Blake on U.S. India Relations/State Visit of Prime Minister Singh,11/18/2009
View from Wall Street,11/18/2009
Backgrounder - Honduras,11/20/2009
DOC Hightower on Entrepreneurship Summit,11/20/2009
HIV/AIDS Briefing 2009,11/24/2009
PRM A/S Schwartz Briefing,12/1/2009
Kim Barker Afghansitan,12/2/2009
"Chairman Mullen ""National Security Strategy Update Briefing""",12/8/2009
Dana Fisher Climate Change,12/21/2009
"Daniel Feldman, Dep SRAP",1/4/2010
EAP A/S Campbell,1/6/2010
SE for Sudan Gration,1/8/2010
Africa Partnership Station Media Roundtable,1/12/2010
"Chairman Mullen ""National Security Strategy Update""",1/12/2010
Bloggers' Roundtable w/ ADM Stavridis on Afghanistn,1/13/2010
Haiti Situation Update w/ DAS Jacobson,1/13/2010
Karen Greenberg 9/11 Trials,1/13/2010
Alec Ross 21st Century Statecraft--Diplomacy in the Age of Facebook and Twitter,1/14/2010
Daily Haiti Situation Update w/Luoma-Overstreet,1/14/2010
Secretary Vilsack,1/14/2010
Daily Haiti Update w/V. Staab,1/15/2010
Haiti Relief Update With USCG RADM Zukunft,1/15/2010
USAF Medical Relief Efforts in Haiti,1/15/2010
TEST - Neil K on Defence,1/18/2010
Indian Health Service in Rockville,1/19/2010
U.S./Russia Look Ahead w/ DAS Russell,1/19/2010
US Japan Alliance A/S Campbell,1/19/2010
A/S Johnson,1/21/2010
Obama at One Year w/Hammer,1/22/2010
Treasury EUR DAS Smart,1/22/2010
Koreans w/EAP A/S Campbell,1/26/2010
Civilian Face of USG Relief Efforts in Haiti & Honduras Update,1/28/2010
QDR Rollout Briefing,2/4/2010
Leavenworth International Media Panel 2010,2/10/2010
Raj Shah on Haiti One Month Later,2/12/2010
MEPI DAS Wittes,2/16/2010
Ambassador to Iraq Christopher Hill,2/19/2010
GEN Abrial Roundtable,2/22/2010
National War College Media Panel,3/9/2010
Women of Courage,3/12/2010
World Urban Forum V (WUF),3/12/2010
FBI 60th Anniversary of Most Wanted List,3/16/2010
Senate Historian,3/16/2010
Recommendations For OSD PA,3/17/2010
Anti-Piracy Briefing,3/19/2010
Mexico Trip - A/S Valenzuela 03/10,3/19/2010
DNI Briefing on Current Threats,3/24/2010
NTMA Update Roundtable,3/24/2010
ADM Willard PACOM Update Briefing,3/25/2010
Deputy Secretary James Steinberg,3/29/2010
Cheryl Mills-- Haiti,3/30/2010
"A/S Blake on trip to India, Pakistan, Afghanistan and Brussels",4/1/2010
DoD's Nuclear Posture Review (NPR) Rollout Briefing,4/6/2010
Nigerian Ambassador,4/7/2010
G-20 Labor Meeting Sec. Solis,4/16/2010
U/S Tauscher,4/20/2010
Arab American Comedy Festival,4/22/2010
African Union Chairman Briefing,4/23/2010
F-35,4/28/2010
GEN Fraser,4/28/2010
Alan Meltzer,4/29/2010
USEU Amb Kennard,4/29/2010
NPT Preview,4/30/2010
USNS Mercy Phone Interviews,4/30/2010
SRAP Holbrooke on President Karzai's visit,5/10/2010
ONDCP Director Gil Kerlikowske,5/11/2010
Adm Zukunft on Coast Guard oil spill cleanup,5/12/2010
Post-Primary briefing with David Lublin,5/19/2010
General Jones NSS Rollout,5/27/2010
NOAA Whaling Commission,5/27/2010
A/S Feltman NEA,6/2/2010
NY Forum,6/2/2010
A/S Blake on U.S.-India Strategic Dialogue,6/7/2010
TIP report,6/16/2010
Preview of Mid-Term Elections,6/18/2010
U.S. Supreme Court - Scene Setter Prior to Confirmation Hearings for Elena Kagan,6/22/2010
Phone Interviews on RIMPAC 2010,6/26/2010
Film Screening: Goal! Soccer for a Better Future,6/28/2010
Screening 'Goal! Soccer for a Better Future',6/28/2010
Alabama Mayor Finley,6/29/2010
NNSA brief on Vietnam,7/2/2010
U/S Sanchez Dpt of Commerce,7/8/2010
Energy A/S Sandalow,7/15/2010
NNSA - Additional Protocol,7/16/2010
Relief Efforts in Haiti-Six months later,7/19/2010
Afghan District Officials,7/21/2010
MG Lanza Interviews,7/21/2010
Kosovo ICJ Independence Ruling,7/22/2010
U/S Sanchez Commerce,7/23/2010
NNSA Finn Agreement,8/2/2010
Treasury WHA round table 08 10,8/4/2010
PDAS McGlynn,8/5/2010
USAID Admin Raj Shah on PK Floods,8/27/2010
Diversity Visa,9/1/2010
CBP/CA on ESTA Fee,9/2/2010
Amb Jenkins NSS readout,9/8/2010
"ADM Fitzgerald ""U.S. Naval Operations in Africa and theMediterranean""",9/14/2010
How To Cover DoD,9/15/2010
SRAP on AFG elections,9/16/2010
"AMB Daalder, Overview of NATO Russia Council Meeting",9/21/2010
Hot House and Senate Races - Burns,9/22/2010
Scene-setter for Midterm Elections - House Historian,9/22/2010
The Tea Party & Elections - Zernike,9/22/2010
A/S Rose Gottemoeller,10/5/2010
Food Security Briefing - A/S Lago,10/5/2010
S&P Global Graying/Economic Impact,10/7/2010
IV business partnership tour,10/8/2010
"DASD Townsend ""Preview of NATO Ministerial""",10/12/2010
ONDCP Director Kerlikowske & FSKN,10/21/2010
Sudan - 2 panels,10/22/2010
Amb Verveer S/GWI,10/25/2010
Results Tracking Test,10/28/2010
Election Day - Jerry Hagstrom,10/29/2010
Election Day - John Fortier,10/29/2010
OSCE Parliamentarian Election Observers,11/3/2010
David Lublin Briefing,11/4/2010
Hammer on India and elections,11/4/2010
Mike Allen Briefing,11/4/2010
Asia Society Policy Task Force,11/10/2010
Free Press in a Global Society,11/16/2010
A/S Gordon on US-EUR Summits,11/17/2010
AMB Benjamin Counterterrorism Update,11/17/2010
A/S Posner on IRF Rollout,11/18/2010
Special Envoy Todd Stern COP 16 Briefing,11/22/2010
ADM Stavridis EUCOM & NATO Update,11/24/2010
A/S P.J. Crowley - WikiLeaks & Other Global Events,12/1/2010
Piracy Media,12/1/2010
"Coordinator Hopkins ""Counter-Piracy Update""",12/3/2010
"LTG Oates ""Counter-IED Update Briefing""",12/6/2010
COL Newman Afghanistan Update,12/7/2010
Crowley Wikileaks,12/7/2010
BG Buchanan Iraq - Operation New Dawn Update,12/9/2010
Facebook/JUMO,12/15/2010
QDDR Teleconference,12/17/2010
Sudan referendum update w/Carson & Lyman,1/11/2011
"Chairman Mullen ""National Security Strategy Update""",1/12/2011
Hammer - Foreign Policy,1/12/2011
U.S. Gov efforts to combat IPR Theft,1/13/2011
African journalist briefing & reception,1/19/2011
Miss America,1/20/2011
US-China Governors MOU w/Reta Lewis,1/24/2011
Millrose Games,1/26/2011
NSC Spokesman Mike Hammer,1/27/2011
SR Pandith Roundtable,1/28/2011
Charlie Cook on 'New 112th Congress',1/31/2011
TFA Wendy Kopp,2/9/2011
FBI Fedarcyk,2/10/2011
Levey,2/10/2011
Treasury's Stuart Levey on Lebanese Bank crack-down,2/10/2011
Alec Ross,2/16/2011
Ricchiuto / Economy Overview,2/16/2011
"ADM Willard ""Asia-Pacific Military Overview"" Briefing",2/17/2011
"GEN Ward Media Roundtable ""US Africa Command (AFRICOM)- A Commander's Perspective""",2/18/2011
P.J. Crowley Briefing,2/24/2011
BP Fund Feinberg,2/28/2011
Jemison Bowser,3/1/2011
JPN & ROK Media For Lockheed F-35,3/1/2011
U.S. Paciific Partnership 2011,3/2/2011
Turk EPC,3/3/2011
NDU Class Visit,3/8/2011
Mohamed El-Sanousi on Muslim-American Community Partnerships,3/10/2011
Senate Historian Briefing,3/10/2011
Soccer Commissioner,3/11/2011
DoD Backgrounder Euro Defense Posture Rollout,3/16/2011
DoD Indian Media Roundtable,3/16/2011
A/S Valenzuela & NSC Restrepo on POTUS trip to Lat Am,3/17/2011
Euro Media for Libya Interviews,3/18/2011
ALF-CIO Denis Hughes,3/31/2011
Census 2010 Readout,3/31/2011
Libyan Humanitarian Aid w/Mark Ward (USAID),4/1/2011
ADM Robert Willard,4/11/2011
A/S Gordon: Secretary's Trip to Berlin,4/19/2011
African Union Chair & U.S. Ambassador,4/20/2011
"USGS: Innovations in Earthquake Monitoring, Risk Assessment & Preparation",4/21/2011
A/S Jacobs on Consular Issues,4/25/2011
Adm. Ziemer/Malaria,4/25/2011
Gen. Mills Afghanistan Operational Update,4/27/2011
Hult Case Challenge,4/27/2011
Muslim American Experts on death of Bin Ladin,5/2/2011
